,season_sin,season_cos,yr_sin,yr_cos,mnth_sin,mnth_cos,hr_sin,hr_cos,weekday_sin,weekday_cos
0,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,1.0,-2.4492935982947064e-16,1.0
1,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,0.2697967711570243,0.9629172873477992,-2.4492935982947064e-16,1.0
2,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,0.5195839500354336,0.8544194045464886,-2.4492935982947064e-16,1.0
3,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,0.730835964278124,0.6825531432186541,-2.4492935982947064e-16,1.0
4,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,0.8878852184023752,0.4600650377311522,-2.4492935982947064e-16,1.0
5,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,0.9790840876823228,0.20345601305263397,-2.4492935982947064e-16,1.0
6,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,0.9976687691905392,-0.06824241336467088,-2.4492935982947064e-16,1.0
7,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,0.9422609221188205,-0.33487961217098616,-2.4492935982947064e-16,1.0
8,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,0.8169698930104421,-0.5766803221148671,-2.4492935982947064e-16,1.0
9,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,0.6310879443260526,-0.7757112907044199,-2.4492935982947064e-16,1.0
10,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,0.3984010898462418,-0.9172113015054528,-2.4492935982947064e-16,1.0
11,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,0.13616664909624665,-0.9906859460363308,-2.4492935982947064e-16,1.0
12,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,-0.1361666490962464,-0.9906859460363308,-2.4492935982947064e-16,1.0
13,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,-0.3984010898462412,-0.9172113015054532,-2.4492935982947064e-16,1.0
14,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,-0.6310879443260528,-0.7757112907044198,-2.4492935982947064e-16,1.0
15,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,-0.816969893010442,-0.5766803221148672,-2.4492935982947064e-16,1.0
16,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,-0.9422609221188204,-0.3348796121709864,-2.4492935982947064e-16,1.0
17,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,-0.9976687691905392,-0.06824241336467135,-2.4492935982947064e-16,1.0
18,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,-0.9790840876823228,0.20345601305263417,-2.4492935982947064e-16,1.0
19,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,-0.8878852184023751,0.46006503773115237,-2.4492935982947064e-16,1.0
20,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,-0.7308359642781246,0.6825531432186536,-2.4492935982947064e-16,1.0
21,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,-0.5195839500354343,0.8544194045464881,-2.4492935982947064e-16,1.0
22,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,-0.2697967711570244,0.9629172873477992,-2.4492935982947064e-16,1.0
23,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0
24,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,1.0,0.0,1.0
25,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,0.2697967711570243,0.9629172873477992,0.0,1.0
26,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,0.5195839500354336,0.8544194045464886,0.0,1.0
27,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,0.730835964278124,0.6825531432186541,0.0,1.0
28,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,0.8878852184023752,0.4600650377311522,0.0,1.0
29,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,0.9976687691905392,-0.06824241336467088,0.0,1.0
30,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,0.9422609221188205,-0.33487961217098616,0.0,1.0
31,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,0.8169698930104421,-0.5766803221148671,0.0,1.0
32,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,0.6310879443260526,-0.7757112907044199,0.0,1.0
33,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,0.3984010898462418,-0.9172113015054528,0.0,1.0
34,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,0.13616664909624665,-0.9906859460363308,0.0,1.0
35,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,-0.1361666490962464,-0.9906859460363308,0.0,1.0
36,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,-0.3984010898462412,-0.9172113015054532,0.0,1.0
37,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,-0.6310879443260528,-0.7757112907044198,0.0,1.0
38,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,-0.816969893010442,-0.5766803221148672,0.0,1.0
39,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,-0.9422609221188204,-0.3348796121709864,0.0,1.0
40,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,-0.9976687691905392,-0.06824241336467135,0.0,1.0
41,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,-0.9790840876823228,0.20345601305263417,0.0,1.0
42,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,-0.8878852184023751,0.46006503773115237,0.0,1.0
43,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,-0.7308359642781246,0.6825531432186536,0.0,1.0
44,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,-0.5195839500354343,0.8544194045464881,0.0,1.0
45,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,-0.2697967711570244,0.9629172873477992,0.0,1.0
46,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,-2.4492935982947064e-16,1.0,0.0,1.0
47,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,1.0,0.8660254037844386,0.5000000000000001
48,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,0.2697967711570243,0.9629172873477992,0.8660254037844386,0.5000000000000001
49,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,0.8878852184023752,0.4600650377311522,0.8660254037844386,0.5000000000000001
50,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,0.9790840876823228,0.20345601305263397,0.8660254037844386,0.5000000000000001
51,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,0.9976687691905392,-0.06824241336467088,0.8660254037844386,0.5000000000000001
52,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,0.9422609221188205,-0.33487961217098616,0.8660254037844386,0.5000000000000001
53,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,0.8169698930104421,-0.5766803221148671,0.8660254037844386,0.5000000000000001
54,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,0.6310879443260526,-0.7757112907044199,0.8660254037844386,0.5000000000000001
55,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,0.3984010898462418,-0.9172113015054528,0.8660254037844386,0.5000000000000001
56,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,0.13616664909624665,-0.9906859460363308,0.8660254037844386,0.5000000000000001
57,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,-0.1361666490962464,-0.9906859460363308,0.8660254037844386,0.5000000000000001
58,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,-0.3984010898462412,-0.9172113015054532,0.8660254037844386,0.5000000000000001
59,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,-0.6310879443260528,-0.7757112907044198,0.8660254037844386,0.5000000000000001
60,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,-0.816969893010442,-0.5766803221148672,0.8660254037844386,0.5000000000000001
61,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,-0.9422609221188204,-0.3348796121709864,0.8660254037844386,0.5000000000000001
62,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,-0.9976687691905392,-0.06824241336467135,0.8660254037844386,0.5000000000000001
63,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,-0.9790840876823228,0.20345601305263417,0.8660254037844386,0.5000000000000001
